pid	title	link	pubdate
2673545	SPT15, the gene encoding the yeast TATA binding factor TFIID, is required for normal transcription initiation in vivo.	http://www.ncbi.nlm.nih.gov/pubmed/2673545	1331480968
10613857	Role of HrcA and CIRCE in the heat shock regulatory network of Bradyrhizobium japonicum.	http://www.ncbi.nlm.nih.gov/pubmed/10613857	1331479535
7961401	Sulfide dehydrogenase from the hyperthermophilic archaeon Pyrococcus furiosus: a new multifunctional enzyme involved in the reduction of elemental sulfur.	http://www.ncbi.nlm.nih.gov/pubmed/7961401	1331160047
8165147	A putative regulatory gene downstream of recA is conserved in gram-negative and gram-positive bacteria.	http://www.ncbi.nlm.nih.gov/pubmed/8165147	1331526910
8487307	Primary structure and crystallization of orotate phosphoribosyltransferase from Salmonella typhimurium.	http://www.ncbi.nlm.nih.gov/pubmed/8487307	1331526958
10644761	Thioredoxin-dependent hydroperoxide peroxidase activity of bacterioferritin comigratory protein (BCP) as a new member of the thiol-specific antioxidant protein (TSA)/Alkyl hydroperoxide peroxidase C (AhpC) family.	http://www.ncbi.nlm.nih.gov/pubmed/10644761	1331479544
9030723	Identification and purification of translation initiation factor 2 (IF2) from Thermus thermophilus.	http://www.ncbi.nlm.nih.gov/pubmed/9030723	1331527025
16216571	YjjX: from structure "Tu" function.	http://www.ncbi.nlm.nih.gov/pubmed/16216571	1331159922
15209499	Nickel superoxide dismutase structure and mechanism.	http://www.ncbi.nlm.nih.gov/pubmed/15209499	1331480208
9103608	Citrate synthase gene comparison, a new tool for phylogenetic analysis, and its application for the rickettsiae.	http://www.ncbi.nlm.nih.gov/pubmed/9103608	1331527032
1787800	The Rhizobium meliloti exoZl exoB fragment of megaplasmid 2: ExoB functions as a UDP-glucose 4-epimerase and ExoZ shows homology to NodX of Rhizobium leguminosarum biovar viciae strain TOM.	http://www.ncbi.nlm.nih.gov/pubmed/1787800	1331480578
