mid	mod_date	name	version	type	status	reaction_count	compound_count	annotation_count	gid	pegs	rnas	scientific_name	complete	prokaryotic	dna_size	contigs	domain	genetic_code	gc_content	phenotype	g_source_id	taxonomy
kb|fm.5	1351011815	Escherichia coli K12	0	Singlegenome	Reconstruction started	1373	1255	5351	kb|g.0	4308	170	Escherichia coli K12	1	1	4639221	1	Bacteria	11	50.7888716661698		83333.1	Bacteria : Proteobacteria : Gammaproteobacteria : Enterobacteriales : Enterobacteriaceae : Escherichia : Escherichia coli K-12
kb|fm.13	1351011899	Postia placenta MAD 698	0	Singlegenome	Reconstruction started	499	623	114977	kb|g.1	17173	0	Postia placenta MAD 698	1	0	90927236	1243	Eukaryota	11	40.8397259540585		104341.3	Eukaryota : Fungi : Dikarya : Basidiomycota : Agaricomycotina : Agaricomycetes : Polyporales : Postia : Postia placenta
kb|fm.17	1351011831	Photobacterium leiognathi subsp. mandapamensis svers.1.1.	0	Singlegenome	Reconstruction started	1162	1099	4162	kb|g.10	4045	81	Photobacterium leiognathi subsp. mandapamensis svers.1.1.	1	1	4564780	31	Bacteria	11	41.063753346273		1001530.3	Bacteria : Proteobacteria : Gammaproteobacteria : Vibrionales : Vibrionaceae : Photobacterium : Photobacterium leiognathi subsp. mandapamensis svers.1.1.
kb|fm.5012	1351030331	Micromonospora rosaria	0	Singlegenome	Reconstruction started	22	95	13	kb|g.10000	13	0	Micromonospora rosaria	1	1	11188	1	Bacteria	11	67.5723989989274		47874	Bacteria : Actinobacteria : Actinobacteridae : Actinomycetales : Micromonosporineae : Micromonosporaceae : Micromonospora : Micromonospora rosaria
kb|fm.5006	1351030330	Pseudomonas fulva	0	Singlegenome	Reconstruction started	22	95	1	kb|g.10001	1	0	Pseudomonas fulva	1	1	5128	1	Bacteria	11	52.418096723869		47880	Bacteria : Proteobacteria : Gammaproteobacteria : Pseudomonadales : Pseudomonadaceae : Pseudomonas : Pseudomonas fulva
kb|fm.4997	1351030350	Clostridium difficile QCD-63q42	0	Singlegenome	Reconstruction started	41	128	4893	kb|g.10006	4242	45	Clostridium difficile QCD-63q42	1	1	4426303	105	Bacteria	11	28.6832826401627		479831	Bacteria : Firmicutes : Clostridia : Clostridiales : Clostridiaceae : Clostridium : Clostridium difficile QCD-63q42
kb|fm.5003	1351030352	Clostridium difficile QCD-37x79	0	Singlegenome	Reconstruction started	43	132	4736	kb|g.10007	4066	38	Clostridium difficile QCD-37x79	1	1	4293436	90	Bacteria	11	28.3980709156955		479834	Bacteria : Firmicutes : Clostridia : Clostridiales : Clostridiaceae : Clostridium : Clostridium difficile QCD-37x79
kb|fm.4984	1351030348	Moraxella catarrhalis	0	Singlegenome	Reconstruction started	22	95	11	kb|g.10008	11	0	Moraxella catarrhalis	1	1	15594	2	Bacteria	11	39.3292291907144		480	Bacteria : Proteobacteria : Gammaproteobacteria : Pseudomonadales : Moraxellaceae : Moraxella : Moraxella catarrhalis
kb|fm.4990	1351030350	Blastocladiella emersonii	0	Singlegenome	Reconstruction started	22	95	45	kb|g.10010	17	28	Blastocladiella emersonii	1	0	36503	1	Eukaryota	11	35.090266553434		4808	Eukaryota : Fungi : Blastocladiomycota : Blastocladiomycetes : Blastocladiales : Blastocladiaceae : Blastocladiella : Blastocladiella emersonii
kb|fm.5015	1351030363	Clostridium sp. MCF-1	0	Singlegenome	Reconstruction started	22	95	1	kb|g.10013	1	0	Clostridium sp. MCF-1	1	1	2450	1	Bacteria	11	39.265306122449		48257	Bacteria : Firmicutes : Clostridia : Clostridiales : Clostridiaceae : Clostridium : Clostridium sp. MCF-1
kb|fm.5009	1351030362	Campylobacter jejuni subsp. jejuni BH-01-0142	0	Singlegenome	Reconstruction started	22	95	106	kb|g.10014	106	0	Campylobacter jejuni subsp. jejuni BH-01-0142	1	1	118623	53	Bacteria	11	27.6818154995237		482628	Bacteria : Proteobacteria : Epsilonproteobacteria : Campylobacterales : Campylobacteraceae : Campylobacter : Campylobacter jejuni subsp. jejuni BH-01-0142
kb|fm.5021	1351030368	Methanobrevibacter smithii DSM 2375	0	Singlegenome	Reconstruction started	22	95	1812	kb|g.10016	1709	38	Methanobrevibacter smithii DSM 2375	1	1	1704865	33	Archaea	11	31.2794268167861		483214	Archaea : Euryarchaeota : Methanobacteria : Methanobacteriales : Methanobacteriaceae : Methanobrevibacter : Methanobrevibacter smithii DSM 2375
kb|fm.5027	1351030374	Bacteroides finegoldii DSM 17565	0	Singlegenome	Reconstruction started	22	95	4541	kb|g.10017	4445	61	Bacteroides finegoldii DSM 17565	1	1	4818030	356	Bacteria	11	42.9956019368912		483215	Bacteria : Bacteroidetes : Bacteroidia : Bacteroidales : Bacteroidaceae : Bacteroides : Bacteroides finegoldii DSM 17565
kb|fm.5033	1351030376	Schizosaccharomyces octosporus yfs286 2	0	Singlegenome	Reconstruction started	22	95	5075	kb|g.10018	4920	0	Schizosaccharomyces octosporus yfs286 2	1	0	11222852	11	Eukaryota	11	37.5231358303576		483514	Eukaryota : Fungi : Dikarya : Ascomycota : Taphrinomycotina : Schizosaccharomycetes : Schizosaccharomycetales : Schizosaccharomycetaceae : Schizosaccharomyces : Schizosaccharomyces octosporus
kb|fm.5039	1351030376	Bacteroides plebeius DSM 17135	0	Singlegenome	Reconstruction started	22	95	4138	kb|g.10020	3933	91	Bacteroides plebeius DSM 17135	1	1	4421324	44	Bacteria	11	44.3127895625835		484018	Bacteria : Bacteroidetes : Bacteroidia : Bacteroidales : Bacteroidaceae : Bacteroides : Bacteroides plebeius DSM 17135
kb|fm.4993	1351030378	Neisseria gonorrhoeae	0	Singlegenome	Reconstruction started	22	95	55	kb|g.10022	55	0	Neisseria gonorrhoeae	1	1	60653	4	Bacteria	11	46.0488351771553		485	Bacteria : Proteobacteria : Betaproteobacteria : Neisseriales : Neisseriaceae : Neisseria : Neisseria gonorrhoeae
kb|fm.4998	1351030386	Halomicrobium mukohataei DSM 12286	0	Singlegenome	Reconstruction started	33	113	3948	kb|g.10023	3418	57	Halomicrobium mukohataei DSM 12286	1	1	3332349	2	Archaea	11	65.530711219023		485914	Archaea : Euryarchaeota : Halobacteria : Halobacteriales : Halobacteriaceae : Halomicrobium : Halomicrobium mukohataei DSM 12286
kb|fm.5010	1351030403	Neisseria meningitidis	0	Singlegenome	Reconstruction started	22	95	7	kb|g.10032	7	0	Neisseria meningitidis	1	1	7245	1	Bacteria	11	42.0979986197378		487	Bacteria : Proteobacteria : Betaproteobacteria : Neisseriales : Neisseriaceae : Neisseria : Neisseria meningitidis
kb|fm.5004	1351030402	Glomus intraradices	0	Singlegenome	Reconstruction started	22	95	49	kb|g.10033	21	28	Glomus intraradices	1	0	70606	1	Eukaryota	11	37.1809761210095		4876	Eukaryota : Fungi : Glomeromycota : Glomeromycetes : Glomerales : Glomeraceae : Glomus : Glomus intraradices
kb|fm.5022	1351030416	Schizosaccharomyces pombe	0	Singlegenome	Reconstruction started	25	98	5745	kb|g.10036	5055	497	Schizosaccharomyces pombe	1	0	12591251	4	Eukaryota	11	36.0491820868316		4896	Eukaryota : Fungi : Dikarya : Ascomycota : Taphrinomycotina : Schizosaccharomycetes : Schizosaccharomycetales : Schizosaccharomycetaceae : Schizosaccharomyces : Schizosaccharomyces pombe
kb|fm.5016	1351030414	Schizosaccharomyces japonicus	0	Singlegenome	Reconstruction started	22	95	38	kb|g.10037	10	27	Schizosaccharomyces japonicus	1	0	80059	1	Eukaryota	11	19.7579285277108		4897	Eukaryota : Fungi : Dikarya : Ascomycota : Taphrinomycotina : Schizosaccharomycetes : Schizosaccharomycetales : Schizosaccharomycetaceae : Schizosaccharomyces : Schizosaccharomyces japonicus
kb|fm.5034	1351030418	Drosophila x virus	0	Singlegenome	Reconstruction started	22	95	2	kb|g.10038	2	0	Drosophila x virus	1	0	6603	2	Viruses	11	45.9185218839921		48981	Viruses : dsRNA viruses : Birnaviridae : Entomobirnavirus : Drosophila x virus
kb|fm.5028	1351030417	Schizosaccharomyces octosporus	0	Singlegenome	Reconstruction started	22	95	42	kb|g.10039	14	28	Schizosaccharomyces octosporus	1	0	44227	1	Eukaryota	11	24.0418748728152		4899	Eukaryota : Fungi : Dikarya : Ascomycota : Taphrinomycotina : Schizosaccharomycetes : Schizosaccharomycetales : Schizosaccharomycetaceae : Schizosaccharomyces : Schizosaccharomyces octosporus
kb|fm.5040	1351030419	Lachancea waltii	0	Singlegenome	Reconstruction started	22	95	4	kb|g.10040	4	0	Lachancea waltii	1	0	5619	1	Eukaryota	11	45.4173340452038		4914	Eukaryota : Fungi : Dikarya : Ascomycota : Saccharomycotina : Saccharomycetes : Saccharomycetales : Saccharomycetaceae : Lachancea : Lachancea waltii
kb|fm.5046	1351030421	Zygosaccharomyces bisporus IFO 1730	0	Singlegenome	Reconstruction started	22	95	3	kb|g.10042	3	0	Zygosaccharomyces bisporus IFO 1730	1	0	6615	1	Eukaryota	11	43.0536659108088		492510	Eukaryota : Fungi : Dikarya : Ascomycota : Saccharomycotina : Saccharomycetes : Saccharomycetales : Saccharomycetaceae : Zygosaccharomyces : Zygosaccharomyces bisporus IFO 1730
kb|fm.5008	1351030435	Candida guilliermondii 1	0	Singlegenome	Reconstruction started	22	95	5902	kb|g.10043	5768	0	Candida guilliermondii 1	1	0	10609954	9		11	43.6166358496936		4929	
kb|fm.5019	1351030439	Saccharomyces cerevisiae	0	Singlegenome	Reconstruction started	23	96	6587	kb|g.10044	5905	428	Saccharomyces cerevisiae	1	0	12162997	18	Eukaryota	11	38.1486980552573		4932	Eukaryota : Fungi : Dikarya : Ascomycota : Saccharomycotina : Saccharomycetes : Saccharomycetales : Saccharomycetaceae : Saccharomyces : Saccharomyces cerevisiae
kb|fm.5002	1351030433	Zygosaccharomyces bailii	0	Singlegenome	Reconstruction started	22	95	3	kb|g.10046	3	0	Zygosaccharomyces bailii	1	0	5415	1	Eukaryota	11	42.2345337026777		4954	Eukaryota : Fungi : Dikarya : Ascomycota : Saccharomycotina : Saccharomycetes : Saccharomycetales : Saccharomycetaceae : Zygosaccharomyces : Zygosaccharomyces bailii
kb|fm.5013	1351030436	Lachancea fermentati	0	Singlegenome	Reconstruction started	22	95	4	kb|g.10047	4	0	Lachancea fermentati	1	0	5416	1	Eukaryota	11	40.3618906942393		4955	Eukaryota : Fungi : Dikarya : Ascomycota : Saccharomycotina : Saccharomycetes : Saccharomycetales : Saccharomycetaceae : Lachancea : Lachancea fermentati
